Fullname,Fullname_GR,Τitle,Party_EN,Party_EN_2,Party_GR,Region,Link_DOI
Dimoschakis Anastasios (Tasos),Δημοσχάκης Αναστάσιος (Τάσος),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Evros,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DIMOSCHAKIS_ANAST_2012470_2021.pdf
Digalakis Vasileios,Διγαλάκης Βασίλειος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Chania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DIGALAKIS_BASILEIOS_2284853_2021.pdf
Douzinas Konstantinos (Kostas),Δουζινάς Κωνσταντίνος (Κώστας),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DOYZINAS_KONSTANTINOS_2105000_2021.pdf
Dounia Panagiota (Noni),Δούνια Παναγιώτα ( Νόνη),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DOYNIA_PANAGIOTA_2230647_2021.pdf
Dragasanis Ioannis,Δραγασάνης Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DRAGASAKIS_IOANNIS_2128654_2021.pdf
Dritsas Theodoros,Δρίτσας Θεόδωρος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DRITSAS_THEODOROS_2216063_2021.pdf
Dritseli Panagiota,Δριτσέλη Παναγιώτα,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Trikala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DRITSELI_PANAGIOTA_2058398_2021.pdf
Eleftheriadou Soultana,Ελευθεριάδου Σουλτάνα,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kavala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ELEYTHERIADOY_SOYLTANA_1982957_2021.pdf
Emmanouilidis Dimitrios,Εμμανουηλίδης Δημήτριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kavala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/EMMANOYILIDIS_DIMITRIOS_2126387_2021.pdf
Euthimiou Anna,Ευθυμίου Άννα,Member of Greek Pariament,New Democracy,New Democracy,Νέα Δημοκρατία,A' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/EYTHYMIOY_ANNA_2283959_2021.pdf
Zaroulia Eleni,Ζαρούλια Ελένη,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ZAROYLIA_ELENI_2284264_2021.pdf
Zachariadis Konstantinos (Kostas),Ζαχαριάδης Κωνσταντίνος (Κώστας),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ZACHARIADIS_KONSTANTINOS_2218614_2021.pdf
Zeimpek Chousein,Ζεϊμπέκ Χουσεϊν,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Xanthi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ZEIMPEK_CHOYS_2066976_2021.pdf
Zempilis Athanasios (Thanasis),Ζεμπίλης Αθανάσιος (Θανάσης),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Euboea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ZEMPILIS_ATHANASIOS_2136037_2021.pdf
Zouraris Konstantinos,Ζουράρης Κωνσταντίνος,Μember of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Thessalonikis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ZOYRARIS_KON_2003172_2021.pdf
Igoumenidis Nikolaos,Ηγουμενίδης Νικόλαος,Μember of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/IGOYMENIDIS_NIKOLAOS_2034877_2021.pdf
Iliopoulos Panagiotis,Ηλιόπουλος Παναγιώτης,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,Magnesia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ILIOPOYLOS_PANAGIOTIS_2209170_2021.pdf
Theleriti Maria,Θελερίτη Μαρία,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Korinthia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/THELERITI_MARIA_2172434_2021.pdf
Theodorakis Stavros,Θεοδωράκης Σταύρος,Member of Greek Parliament,The River,The River,Το Ποτάμι,A'Thessalonikis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/THEODORAKIS_STAYROS_2025290_2021.pdf
Theodorikakos Panagiotis (Takis),Θεοδωρικάκος Παναγιώτης (Τάκης),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/THEODORIKAKOS_PANAGIOTIS_2279958_2021.pdf
Theopeftatou Afroditi,Θεοπεφτάτου Αφροδίτη,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Cephalonia Prefecture,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/THEOPEFTATOY_AFRODITI_1960324_2021.pdf
Theofilaktos Ioannis,Θεοφύλακτος Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kozani,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/THEOFYLAKTOS_IOANNIS_2141218_2021.pdf
Theocharis Theocharis (Charis),Θεοχάρης Θεοχάρης (Χάρης),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/THEOCHARIS_THEOCHARIS_2182570_2021.pdf
Theocharopoulos Athanasios,Θεοχαρόπουλος Αθανάσιος,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/THEOCHAROPOYLOS_ATHANASIOS_2214248_2021.pdf
Thivaios Nikolaos,Θηβαίος Νικόλαος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Boeotia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/THIBAIOS_NIKOLAOS_2071217_2021.pdf
Thrapsaniotis Emmanouil,Θραψανιώτης Εμμανουήλ,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Lasithi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/THRAPSANIOTIS_EMMAN_2179165_2021.pdf
Iatridi Tsabika (Mika),Ιατρίδη Τσαμπίκα (Μίκα),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Dodecanese,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/IATRIDI_TSAMPIKA_1961815_2021.pdf
Igglezi Aikaterini (Katerina),Ιγγλέζη Αικατερίνη,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Chalkidiki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/IGGLEZI_AIKATERINI_2012779_2021.pdf
Kavadellas Dimitrios,Καβαδέλλας Δημήτριος,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KABADELLAS_DIMITRIOS_2096149_2021.pdf
Kavvadia Ioanneta (Anneta),Καβαδία Ιωαννέτα (Άννέτα),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KABBADIA_IOANNETA_2214253_2021.pdf
Kairidis Dimitrios,Καιρίδης Δημήτριος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Β'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KAIRIDIS_DIMITRIOS_2156992_2021.pdf
Kaisas Georgios,Καΐσας Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Evros,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KAISAS_GEORGIOS_2073084_2021.pdf
Kaklamanis Nikitas,Κακλαμάνης Νικήτας,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KAKLAMANIS_NIKITAS_1975216_2021.pdf
Kalamatianos Dionysios - Charalampos,Καλαματιανός Διονύσιος - Χαράλαμπος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Elis / Ilia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KALAMATIANOS_DIONYSIOS_CHARALAMP_2158139_2021.pdf
Kalafatis Stavros,Καλαφάτης Σταύρος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KALAFATIS_STAYROS_2197953_2021.pdf
Kallianos Ioannis,Καλλιανός Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KALLIANOS_IOANNIS_2106221_2021.pdf
Kalogiannis Stavros,Καλογιάννης Σταύρος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Ioannina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KALOGIANNIS_STAYROS_2276155_2021.pdf
Kamateros Ilias,Καματερός Ηλίας,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Dodecanese,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KAMATEROS_ILIAS_2205733_2021.pdf
Kaminis Georgios,Καμίνης Γεώργιος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KAMINIS_GEORGIOS_2025715_2021.pdf
Kammenos Panagiotis (Πάνος),Καμμένος Παναγιώτης (Πάνος),Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,Β'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KAMMENOS_PANAGIOTIS_1988269_2021.pdf
Kammenos Dimitrios,Καμμένος Δημήτριος,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,B'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KAMPOSOS_DIMITRIOS_2032261_2021.pdf
Kanelli Garifallia (Liana),Κανέλλη Γαρυφαλλιά (Λιάνα),Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KANELLI_GARYFALLIA_2097264_2021.pdf
Kapatos Panagis,Καπάτος Παναγής,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Cephalonia Prefecture,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KAPPATOS_PANAGIS_2145864_2021.pdf
Karagiannis Ioannis,Καραγιάννης Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Ioannina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARAGIANNIS_IOANNIS_2060193_2021.pdf
Karagiannidis Christos,Καραγιαννίδης Χρηστος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Drama,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARAGIANNIDIS_CHRISTOS_2090410_2021.pdf
Karagkounis Konstantinos,Καραγκούνης Κωνσταντίνος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Aetolia-Acarnania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARAGKOYNIS_KONSTANTINOS_2217658_2021.pdf
Karathanasopoulos Nikolaos,Καραθανασόπουλος Νικόλαος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Achaea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARATHANASOPOYLOS_NIKOLAOS_1995637_2021.pdf
Karakosta Evaggelia (Evi),Καρακώστα Ευαγελία (Εύη),Member  of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Β'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARAKOSTA_EYAGGELIA_2280450_2021.pdf
Karakostas Evaggelos,Καρακώστας Ευάγγελος,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,Boeotia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARAKOSTAS_EYAGGELOS_2155164_2021.pdf
Karamanli Anna,Καραμανλή Άννα,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARAMANLI_ANNA_2051121_2021.pdf
Karamanlis Kostas,Καραμανλής Κώστας,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARAMANLIS_KONST_2063243_2021.pdf
Karamanlis Konstantinos (Kostas),Καραμανλής Κωνσταντίνος (Κώστας),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARAMANLIS_KONSTANTINOS_1981687_2021.pdf
Karanastasis Apostolos,Καραναστάσης Απόστολος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Phthiotis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARANASTASIS_APOST_2070920_2021.pdf
Karaoglou Theodoros,Καράογλου Θεόδωρος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARAOGLOY_THEODOROS_2022201_2021.pdf
Karasarlidou Eufrosini (Froso),Καρασαρλίδου Ευφροσύνη (Φρόσω),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Imathia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARASARLIDOY_EYFROSYNI_2066946_2021.pdf
Karasmanis Georgios,Καρασμανής Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Pella,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARASMANIS_GEORGIOS_2202557_2021.pdf
Karras Georgios - Dimitrios,Καρράς Γεώργιος - Δημήτριος,Μember of Greek Parliament,Democratic Allignment,Democratic Allignment,Δημκρατική Συμπαράταξη,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KARRAS_GEORGIOS_DIMITRIOS_2087407_2021.pdf
Kasapidis Georgios,Κασαπίδης Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Kozani,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KASAPIDIS_GEORGIOS_2148949_2021.pdf
Kasidiaris Ilias,Κασιδιάρης Ηλίας,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KASIDIARIS_ILIAS_1939313_2021.pdf
Kasimati Eirini (Nina),Κασιμάτη Ειρήνη (Νίνα),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B' Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KASIMATI_EIRINI_2283658_2021.pdf
Kastanidis Charalampos (Charis),Καστανίδης Χαράλαμπος (Χάρης),Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,A' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KASTANIDIS_CHARALAMPOS_2070999_2021.pdf
Kastoris Asterios,Καστόρης Αστέριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Pieria,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KASTORIS_ASTERIOS_2191797_2021.pdf
Katrinis Michael,Κατρίνης Μιχαήλ,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Elis / Ilia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KATRINIS_MICHAIL_2184071_2021.pdf
Katrougalos Georgios,Κατρούγκαλος Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KATROYGKALOS_GEORGIOS_2007472_2021.pdf
Katsaniotis Andreas,Κατσανιώτης Ανδρέας,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Achaea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KATSANIOTIS_ANDR_2140995_2021.pdf
Katsafados Konstantinos,Κατσαφάδος Κωνσταντίνος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A' Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KATSAFADOS_KONSTANTINOS_2148843_2021.pdf
Katsis Marios,Κάτσης Μάριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Thesprotia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KATSIS_MARIOS_2056807_2021.pdf
Katsiantonis Georgios,Κατσιαντώνης Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KATSIANTONIS_GEORGIOS_2002323_2021.pdf
Katsikis Konstantinos,Κατσίκης Κωνσταντίνος,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KATSIKIS_KONSTANTINOS_2065124_2021.pdf
Katsotis Christos,Κατσώτης Χρήστος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KATSOTIS_CHRISTOS_2139503_2021.pdf
Kafantari Charoula ( Chara),Καφαντάρη Χαρούλα (Χαρά),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KAFANTARI_CHAROYLA_2023204_2021.pdf
Kegkeroglou Vasileios,Κεγκέρογλου Βασίλειος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KEGKEROGLOY_BASILEIOS_2194508_2021.pdf
Kedikoglou Simeon (Simos),Κεδίκογλου Συμεών (Σίμος),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Euboea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KEDIKOGLOY_SYMEON_2266247_2021.pdf
Keletsis Stavros,Κελέτσης Σταύρος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Evros,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KELETSIS_STAYROS_2075671_2021.pdf
Kellas Christos,Κέλλας Χρήστος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KELLAS_CHRISTOS_2249854_2021.pdf
Kerameos Niki,Κεραμέως Νίκη,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KERAMEOS_NIKI_2276676_2021.pdf
Kefala Maria - Alexandra,Κεφάλα Μαρία - Αλεξάνδρα,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Ioannina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KEFALA_MARIA_ALEXANDRA_2139328_2021.pdf
Kefalidou Charoula (Chara),Κεφαλίδου Χαρούλα (Χαρά),Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Drama,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KEFALIDOY_CHAROYLA_2073539_2021.pdf
Kelafogianni Olga,Κεφαλογιάννη Όλγα,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KEFALOGIANNI_OLGA_2000537_2021.pdf
Kefalogiannis Ioannis,Κεφαλογιάννης Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Rethimnon,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KEFALOGIANNIS_IOANNIS_2201293_2021.pdf
Kikilias Vasileios,Κικίλιας Βασίλειος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KIKILIAS_BASILEIOS_2044310_2021.pdf
Kozompoli Panagiota,Κοζομπόλη Παναγιώτα,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Messinia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOZOMPOLI_PANAGIOTA_2224060_2021.pdf
Kokkalis Vasileios,Κόκκαλης Βασίλειος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOKKALIS_BASIL_2017945_2021.pdf
Kollia Maria,Κόλλια Μαρία,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOLLIA_MARIA_2219843_2021.pdf
Komninaka Maria,Κομνηνάκα Μαρία,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Lesvos,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOMNINAKA_MARIA_1995812_2021.pdf
Konsolas Emmanouil (Manos),Κόνσολας Εμμανουήλ (Μάνος),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Dodecanese,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KONSOLAS_EMMANOYIL_2043876_2021.pdf
Kontogeorgos Konstantinos,Κοντογεωργός Κωνσταντίνος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Evrytania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KONTOGEORGOS_KONSTANTINOS_1999762_2021.pdf
Kontonis Charalampos - Stavros,Κοντονής Χαράλαμπος - Σταύρος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Zakynthos / Zante,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KONTONIS_STAYR_2039811_2021.pdf
Kotzias Nikolaos,Κοτζιάς Νικόλαος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOTZIAS_NIKOL_2060578_2021.pdf
Kotronias Georgios,Κοτρωνιάς Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Fthiotida,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOTRONIAS_GEORGIOS_2193854_2021.pdf
Kouvelas Dimitrios,Κούβελας Δημήτριος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYBELAS_DIMITRIOS_2284365_2021.pdf
Kouzilos Nikolaos,Κούζηλος Νικόλαος,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,A' Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYZILOS_NIKOLAOS_2045784_2021.pdf
Quick Terence,Κουίκ Τέρενς,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYIK_TERENS_SPENS_2099394_2021.pdf
Koukodimos Konstantinos,Κουκοδήμος Κωνσταντίνος,Member  of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Pieria,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYKODIMOS_KONSTANTINOS_2221192_2021.pdf
Koukoutsis Dimitrios,Κουκούτσης Δημήτριος,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,Messinia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYKOYTSIS_DIMITRIOS_2197348_2021.pdf
Koumoutsakos Georgios,Κουμουτσάκος Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYMOYTSAKOS_GEORGIOS_2242547_2021.pdf
Kouroumplis Panagiotis,Κουρουμπλής Παναγιώτης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYROYMPLIS_PANAGIOTIS_2261844_2021.pdf
Koutsoukos Ioannis,Κουτσούκος Ιωάννης,Member of Greek Parliament,Democratic Allignment,Democratic Allignment,Δημοκρατική Συμπαράταξη,Elis / Ilia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYTSOYKOS_IOANNIS_2141576_2021.pdf
Koutsoumpas Andreas,Κουτσούμπας Ανδρέας,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Viotia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYTSOYMPAS_ANDREAS_2045489_2021.pdf
